Code,Description
1,Véhicule en stationnement
2,Arbre
3,Glissière métallique
4,Glissière béton
5,Autre glissière
6,"Bâtiment, mur, pile de pont"
7,Support de signalisation verticale ou poste d’appel d’urgence
8,Poteau
9,Mobilier urbain
10,Parapet
11,"Ilot, refuge, borne haute"
12,Bordure de trottoir
13,"Fossé, talus, paroi rocheuse"
14,Autre obstacle fixe sur chaussée
15,Autre obstacle fixe sur trottoir ou accotement
16,Sortie de chaussée sans obstacle
