"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"202400000001";"3";"D438";"0";"N/A";"2";"2";"0";"1";"1";"260";"2";"";"7";"1";"0";"1";"90"
"202400000002";"4";"HOTEL DIEU (RUE DE L')";"0";"N/A";"2";"2";"0";"1";" -1";" -1";"1";"";" -1";"9";"0";"1";"30"
"202400000002";"4";"POTERNE (RUE)";"0";"N/A";"1";"1";"0";"1";" -1";" -1";"1";"";" -1";"9";"0";"1";"30"
"202400000003";"4";"TILLEULS (ALLEE DES)";"0";"N/A";"2";"2";"0";"1";" -1";" -1";"1";"";" -1";"1";"0";"3";"50"
"202400000004";"4";"AUTHIE (N° 106 PAIRS -115 IMPAIRS)";"0";"N/A";"2";"4";"0";"1";" -1";" -1";"1";"";" -1";"1";"9";"1";"50"
"202400000004";"4";"HAGUE (RUE DE LA)";"0";"N/A";"2";"2";"0";"1";" -1";" -1";"1";"";" -1";"1";"0";"1";"50"
"202400000005";"1";"BEDOULE (CHEMIN DE LA)";"0";"N/A";"2";"4";"0";"1";"1";"0";"1";"";"17";"2";"0";"1";"50"
"202400000005";"1";"BEDOULE (CHEMIN DE LA)";"0";"N/A";"2";"4";"1";"2";"272";"0";"1";"";"17";"2";"0";"1";"70"
"202400000006";"4";"Petite Ourse (rue de la)";"0";"N/A";"2";"0";"0";"1";"0";"0";"1";"";" -1";"1";"5";"1";"50"
"202400000006";"4";"Petite Ourse (rue de la)";"0";"N/A";"2";"3";"0";"2";"0";"0";"1";"";" -1";"1";"5";"1";"50"
"202400000007";"6";"HUILES (PLACE AUX)";"0";"N/A";"2";"2";"0";"1";"0";"0";"2";"";" -1";"1";"9";"1";"50"
"202400000008";"4";"MARCALE (RUE DE)";"0";"N/A";"2";"2";"0";"1";" -1";" -1";"1";"";" -1";"1";"0";"1";"50"
"202400000009";"4";"TOURTOUSSE (CHEMIN DE)";"0";"N/A";"2";"1";"0";"1";" -1";" -1";"2";"";" -1";"1";"0";"3";"50"
"202400000010";"4";"FAURE (AV. FELIX)";"0";"N/A";"1";"2";"1";"1";"0";"0";"1";"";" -1";"1";"0";"5";"50"
"202400000011";"4";"PORTE DE VINCENNES";"0";"N/A";"1";"4";"0";"1";"32";"600";"1";"";" -1";"1";"0";"1";"70"
"202400000012";"4";"PORTE DE CLICHY";"0";"N/A";"1";"4";"0";"1";"19";"0";"1";"";" -1";"8";"0";"1";"70"
"202400000013";"4";"RUE GASTON TESSIER";"0";"N/A";"2";"2";"0";"1";" -1";" -1";"1";"";" -1";"1";"0";"1";"30"
"202400000014";"4";"RUE DE CRIMEE";"0";"N/A";" -1";"2";"1";"1";" -1";" -1";"1";"";" -1";"1";"0";"1";"30"
"202400000014";"4";"RUE DE THIONVILLE";"0";"N/A";"1";"1";"0";"1";" -1";" -1";"1";"";" -1";"1";"0";"8";"30"
"202400000015";"4";"N/A";" -1";"N/A";"1";" -1";" -1";"1";" -1";" -1";"1";"";" -1";"1";"0";"8";"20"
"202400000015";"4";"QUAI DE LA GIRONDE";"0";"N/A";"2";"2";"3";"2";" -1";" -1";"1";"";" -1";"1";"6";"8";"20"
