"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202400013571";"22";"11";"2024";"14:45";"1";"72";"72181";"2";"1";"1";"6";"BARTHOLDI FRED AUGUSTE (AV) IMPAI";"48,01749000";"0,15284000"
"202400013572";"21";"11";"2024";"22:00";"5";"72";"72181";"1";"1";"1";"3";"PATTON GENERAL RTE BAUGE A CHEMIN RONDE";"48,02816217";"0,17520189"
"202400013573";"22";"11";"2024";"11:20";"1";"69";"69264";"2";"1";"1";"3";"384 Boulevard Louis Blanc";"45,98767000";"4,72134000"
"202400013574";"22";"11";"2024";"06:50";"5";"69";"69264";"2";"1";"8";"2";"Route de Frans";"45,98570000";"4,72268000"
"202400013575";"22";"11";"2024";"23:30";"5";"69";"69199";"2";"1";"1";"3";"Boulevard Yves Farge";"45,69005749";"4,86163994"
"202400013576";"22";"11";"2024";"01:45";"4";"69";"69290";"1";"1";"2";"6";"Rue Jules Verne";"45,70005000";"4,97023000"
"202400013577";"22";"11";"2024";"17:50";"5";"67";"67482";"2";"1";"8";"6";"THUMENAU (RUE DE LA)";"48,57196000";"7,75486000"
"202400013578";"22";"11";"2024";"19:10";"5";"67";"67180";"2";"3";"1";"5";"FOULON (RUE DU)";"48,80542400";"7,77945700"
"202400013579";"22";"11";"2024";"09:30";"1";"64";"64483";"2";"1";"3";"6";"SALLAGOITY GARRA (RUE)";"43,38846000";" -1,65873000"
"202400013580";"22";"11";"2024";"23:05";"5";"64";"64445";"2";"1";"1";"3";"FAGET DE BAURE";"43,29865337";" -0,37255079"
"202400013581";"22";"11";"2024";"20:00";"5";"64";"64445";"2";"9";"1";"6";"BAYARD";"43,29723000";" -0,37587000"
"202400013582";"22";"11";"2024";"08:55";"1";"64";"64445";"2";"1";"2";"7";"GENERAL POEYMIRAU DU";"43,29526000";" -0,35693000"
"202400013583";"21";"11";"2024";"14:05";"1";"64";"64445";"2";"3";"1";"6";"MARCELIN BERTHELOT";"43,30628000";" -0,36421000"
"202400013584";"22";"11";"2024";"13:50";"1";"64";"64122";"1";"1";"2";"3";"MARCEL DASSAULT (BD)";"43,45211000";" -1,55578000"
"202400013585";"22";"11";"2024";"20:10";"4";"64";"64102";"2";"1";"1";"4";"LOUIS DE FOIX (AVENUE)";"43,51170000";" -1,46850000"
"202400013586";"22";"11";"2024";"14:30";"1";"59";"59599";"2";"1";"1";"2";"DUNKERQUE (RUE DE)";"50,71751600";"3,14547700"
"202400013587";"22";"11";"2024";"15:00";"1";"56";"56098";"2";"2";"1";"3";"Rue Gérard Philipe";"47,76672000";" -3,35906000"
"202400013588";"22";"11";"2024";"07:20";"5";"54";"54395";"2";"2";"1";"6";"Rue Henri Bazin";"48,69647943";"6,19299531"
"202400013589";"21";"11";"2024";"10:40";"1";"54";"54395";"2";"3";"1";"3";"avenue Raymond Pinchard";"48,70320000";"6,15481900"
"202400013590";"20";"11";"2024";"18:00";"5";"54";"54395";"2";"3";"1";"3";"Avenue de Strasbourg";"48,68009250";"6,19540393"
"202400013591";"22";"11";"2024";"10:15";"1";"51";"51454";"2";"1";"4";"7";"GILBERT (RUE)";"49,26400000";"4,01847000"
"202400013592";"21";"11";"2024";"17:55";"3";"51";"51058";"2";"1";"1";"6";"LOUIS VICTOR DE BROGLIE";"49,21612000";"3,99754000"
"202400013593";"21";"11";"2024";"08:20";"5";"50";"50129";"2";"1";"8";"1";"SALINE (BOULEVARD DE LA)";"49,65187000";" -1,64694000"
"202400013594";"18";"11";"2024";"17:45";"5";"50";"50129";"2";"6";"3";"2";"EST (BOULEVARD DE L')";"49,63658000";" -1,59591000"
"202400013595";"21";"11";"2024";"15:55";"1";"49";"49099";"2";"3";"1";"6";"THIBAULT CARTE (RUE)";"47,06153000";" -0,87450000"
