"Num_Acc";"id_usager";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202400005684";"203 975 196";"155 771 788";"A01";"1";"1";"2";"1";"1965";"0";"0";" -1";" -1";"0";"0";" -1"
"202400005685";"203 975 197";"155 771 789";"A01";"1";"1";"1";"1";"1964";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005685";"203 975 198";"155 771 790";"B01";"1";"1";"3";"1";"2006";"1";"2";"6";" -1";"0";"0";" -1"
"202400005686";"203 975 194";"155 771 786";"A01";"1";"1";"4";"1";"2005";"5";"2";"6";" -1";"0";"0";" -1"
"202400005687";"203 975 192";"155 771 785";"A01";"10";"3";"3";"2";"1974";"9";"0";" -1";" -1";"6";"B";"1"
"202400005687";"203 975 193";"155 771 785";"A01";"1";"1";"1";"2";"1987";"4";"0";" -1";" -1";"0";"0";" -1"
"202400005687";"203 975 195";"155 771 787";"B01";"1";"1";"1";"1";"1967";"4";"0";" -1";" -1";"0";"0";" -1"
"202400005688";"203 975 188";"155 771 781";"A01";"1";"1";"1";"1";"1956";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005688";"203 975 190";"155 771 783";"B01";"1";"1";"3";"1";"2007";"5";"2";"6";" -1";"0";"0";" -1"
"202400005689";"203 975 187";"155 771 780";"A01";"1";"1";"3";"1";"1976";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005690";"203 975 186";"155 771 779";"A01";"1";"1";"3";"1";"1955";"3";"1";" -1";" -1";"0";"0";" -1"
"202400005691";"203 975 181";"155 771 776";"A01";"9";"2";"4";"2";"2020";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005691";"203 975 183";"155 771 776";"A01";"7";"2";"1";"2";"2008";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005691";"203 975 185";"155 771 776";"A01";"1";"1";"1";"2";"1976";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005692";"203 975 178";"155 771 774";"B01";"1";"1";"3";"2";"2003";"1";"1";" -1";" -1";"0";"0";" -1"
"202400005692";"203 975 179";"155 771 775";"C01";"1";"1";"1";"1";"1966";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005692";"203 975 180";"155 771 775";"C01";"2";"2";"1";"2";"1977";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005692";"203 975 182";"155 771 777";"D01";"1";"1";"4";"2";"1996";"1";"1";" -1";" -1";"0";"0";" -1"
"202400005692";"203 975 184";"155 771 778";"A01";"1";"1";"1";" -1";"";" -1";" -1";" -1";" -1";" -1";" -1";" -1"
"202400005693";"203 975 176";"155 771 773";"A01";"2";"2";"3";"2";"1957";"3";"1";" -1";" -1";"0";"0";" -1"
"202400005693";"203 975 177";"155 771 773";"A01";"1";"1";"3";"1";"1948";"3";"1";" -1";" -1";"0";"0";" -1"
"202400005694";"203 975 172";"155 771 771";"B01";"1";"1";"1";"2";"1961";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005694";"203 975 174";"155 771 772";"A01";"2";"2";"4";"1";"2006";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005694";"203 975 175";"155 771 772";"A01";"1";"1";"1";"1";"1998";"5";"8";" -1";" -1";"0";"0";" -1"
"202400005695";"203 975 170";"155 771 769";"A01";"1";"1";"3";"2";"1952";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005696";"203 975 167";"155 771 768";"A01";"2";"2";"1";"2";"2002";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005696";"203 975 168";"155 771 768";"A01";"4";"2";"1";"1";"2006";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005696";"203 975 169";"155 771 768";"A01";"9";"2";"1";"1";"2007";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005696";"203 975 171";"155 771 768";"A01";"1";"1";"4";"2";"2004";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005696";"203 975 173";"155 771 770";"B01";"1";"1";"1";"1";"2005";"3";"1";" -1";" -1";"0";"0";" -1"
"202400005697";"203 975 159";"155 771 766";"A01";"8";"2";"4";"1";"1990";"4";"0";" -1";" -1";"0";"0";" -1"
"202400005697";"203 975 160";"155 771 766";"A01";"8";"2";"3";"1";"1986";"4";"0";" -1";" -1";"0";"0";" -1"
"202400005697";"203 975 162";"155 771 766";"A01";"8";"2";"4";"1";"1977";"4";"0";" -1";" -1";"0";"0";" -1"
"202400005697";"203 975 163";"155 771 766";"A01";"9";"2";"4";"1";"1980";"4";"1";" -1";" -1";"0";"0";" -1"
"202400005697";"203 975 164";"155 771 766";"A01";"2";"2";"4";"1";"1995";"4";"1";" -1";" -1";"0";"0";" -1"
"202400005697";"203 975 165";"155 771 766";"A01";"7";"2";"4";"1";"1986";"4";"0";" -1";" -1";"0";"0";" -1"
"202400005697";"203 975 166";"155 771 766";"A01";"1";"1";"1";"1";"2000";"4";"1";" -1";" -1";"0";"0";" -1"
"202400005698";"203 975 157";"155 771 764";"A01";"1";"1";"1";"1";"1982";"1";"1";" -1";" -1";"0";"0";" -1"
"202400005698";"203 975 158";"155 771 765";"B01";"1";"1";"4";"1";"1992";"5";"2";"6";" -1";"0";"0";" -1"
"202400005698";"203 975 161";"155 771 767";"C01";"1";"1";"1";"1";"1955";"3";"1";" -1";" -1";"0";"0";" -1"
"202400005699";"203 975 155";"155 771 762";"A01";"1";"1";"1";"1";"1961";"1";"1";" -1";" -1";"0";"0";" -1"
"202400005699";"203 975 156";"155 771 763";"B01";"1";"1";"3";"1";"1948";"5";"2";" -1";" -1";"0";"0";" -1"
"202400005700";"203 975 153";"155 771 760";"B01";"1";"1";"3";"1";"1967";"1";"6";"2";" -1";"0";"0";" -1"
"202400005700";"203 975 154";"155 771 761";"A01";"1";"1";"1";"2";"1973";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005701";"203 975 150";"155 771 758";"A01";"1";"1";"4";"2";"2007";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005701";"203 975 152";"155 771 758";"A01";"2";"2";"4";"1";"2007";"5";"1";" -1";" -1";"0";"0";" -1"
"202400005702";"203 975 149";"155 771 757";"A01";"1";"1";"3";"2";"2001";"4";"1";" -1";" -1";"0";"0";" -1"
