"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"202400000001";"3";"D438";"0";"N/A";"2";"2";"0";"1";"1";"260";"2";"";"7";"1";"0";"1";"90"
"202400000002";"4";"HOTEL DIEU (RUE DE L')";"0";"N/A";"2";"2";"0";"1";" -1";" -1";"1";"";" -1";"9";"0";"1";"30"
"202400000002";"4";"POTERNE (RUE)";"0";"N/A";"1";"1";"0";"1";" -1";" -1";"1";"";" -1";"9";"0";"1";"30"
"202400000003";"4";"TILLEULS (ALLEE DES)";"0";"N/A";"2";"2";"0";"1";" -1";" -1";"1";"";" -1";"1";"0";"3";"50"
