"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202400000048";"155781673";"C01";"1";"7";"0";"2";"9";"23";"3";""
"202400000049";"155781670";"A01";"1";"7";"6";"0";"2";"1";"1";""
"202400000050";"155781668";"A01";"1";"7";"4";"0";"1";"26";"1";""
"202400000051";"155781666";"A01";"1";"7";"0";"0";"0";"15";"1";""
"202400000051";"155781667";"B01";"1";"33";"4";"0";"1";"21";"1";""
"202400000052";"155781664";"A01";"2";"34";"0";"2";"8";"11";"0";""
"202400000052";"155781665";"B01";"2";"7";"0";"2";"2";"1";"0";""
"202400000053";"155781663";"A01";"1";"10";"13";"0";"1";"1";"1";""
"202400000054";"155781660";"A01";"1";"7";"0";"2";"3";"1";"1";""
"202400000054";"155781661";"C01";"1";"33";"0";"2";"1";"1";"1";""
"202400000054";"155781662";"B01";"1";"7";"0";"2";"4";"1";"3";""
"202400000055";"155781654";"A01";"1";"43";"0";"2";"5";"17";"1";""
"202400000055";"155781656";"B01";"1";"7";"0";"2";"3";"1";"1";""
"202400000055";"155781658";"C01";"1";"7";"0";"2";"2";"1";"1";""
"202400000056";"155781651";"A01";"2";"33";"0";"2";"3";"18";"1";""
"202400000056";"155781652";"B01";"2";"7";"0";"2";"7";"1";"1";""
"202400000057";"155781650";"B01";"1";"7";"0";"2";"3";"16";"1";""
"202400000057";"155781653";"A01";"2";"10";"0";"2";"3";"15";"1";""
"202400000058";"155781647";"A01";"1";"7";"0";"2";"7";"0";"1";""
"202400000058";"155781649";"B01";"1";"15";"0";"2";"2";"1";"1";""
"202400000059";"155781646";"B01";"2";"7";"0";"2";"3";"13";"1";""
"202400000059";"155781648";"A01";"1";"7";"0";"2";"3";"1";"1";""
"202400000060";"155781643";"A01";"1";"7";"4";"2";"6";"11";"1";""
"202400000060";"155781645";"B01";"1";"34";"4";"2";"1";"3";"1";""
"202400000061";"155781642";"A01";"2";"7";"0";"2";"4";"11";"1";""
"202400000061";"155781644";"B01";"2";"31";"0";"2";"1";"3";"1";""
"202400000062";"155781640";"A01";"1";"31";"12";"0";"7";"26";"1";""
"202400000063";"155781639";"B01";"2";"7";"0";"2";"5";"1";"1";""
"202400000063";"155781641";"A01";"2";"10";"6";"2";"2";"13";"1";""
"202400000064";"155781637";"A01";"3";"7";"0";"9";"6";"10";"1";""
"202400000064";"155781638";"B01";"3";"1";"0";"2";"1";"1";"5";""
"202400000065";"155781636";"A01";"2";"7";"0";"0";"1";"0";"1";""
"202400000066";"155781635";"A01";"1";"7";"12";"0";"3";"1";"1";""
"202400000067";"155781633";"A01";"2";"7";"4";"0";"3";"1";"1";""
"202400000068";"155781632";"A01";"1";"7";"0";"2";"7";"15";"1";""
"202400000068";"155781634";"B01";"2";"30";"0";"2";"1";"1";"1";""
"202400000069";"155781631";"A01";"1";"7";"2";"0";"3";"17";"1";""
"202400000070";"155781628";"A01";"1";"7";"2";"0";"1";"1";"1";""
"202400000071";"155781629";"B01";"1";"7";"0";"2";"7";"19";"1";""
"202400000071";"155781630";"A01";"2";"10";"0";"2";"1";"19";"1";""
"202400000072";"155781624";"B01";"2";"7";"0";"2";"3";"26";"1";""
"202400000072";"155781626";"A01";"2";"2";"0";"2";"1";"1";"1";""
"202400000073";"155781625";"A01";"1";"10";"0";"2";"2";"19";"1";""
"202400000073";"155781627";"B01";"3";"31";"0";"2";"1";"1";"1";""
