"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"CNIT";"Catégorie véhicule";"Age véhicule"
"67 230 495";"B";"2024";"Métropole";"N30ARZTR7014678";"PL";"6"
"67 230 495";"C";"2024";"Métropole";"M10JT0VP0551692";"VT";"2"
"67 230 495";"D";"2024";"Métropole";"M10MC3VPRT1N835";"VT";"1"
"67 230 496";"A";"2024";"Métropole";"L3EHNDML001V354";"Moto légère";"0"
"67 230 497";"A";"2024";"Métropole";"M10BMWVP030D069";"VT";"8"
"67 230 497";"B";"2024";"Métropole";"N/A";"PL";"10"
"67 230 500";"A";"2024";"Métropole";"L3ETPHM2000R448";"Moto lourde";"8"
"67 230 500";"B";"2024";"Métropole";"M10AUDVP095X072";"VT";"2"
"67 230 501";"A";"2024";"Métropole";"M10PGTVP071D350";"VT";"5"
"67 230 502";"A";"2024";"Métropole";"MVW53R6W3899";"VT";"19"
"67 230 502";"B";"2024";"Métropole";"N/A";"Autres";"N/A"
"67 230 503";"A";"2024";"Métropole";"N/A";"VT";"17"
"67 230 503";"B";"2024";"Métropole";"M10FATVP083D063";"VT";"8"
"67 230 504";"A";"2024";"Métropole";"N/A";"VT";"14"
"67 230 504";"B";"2024";"Métropole";"N/A";"VT";"16"
"67 230 505";"A";"2024";"Métropole";"N/A";"VT";"2"
"67 230 506";"A";"2024";"Métropole";"N/A";"VT";"16"
"67 230 507";"A";"2024";"Métropole";"M10VWGVPZ442071";"VT";"2"
"67 230 507";"B";"2024";"Métropole";"L3EHNDM20001793";"Moto lourde";"7"
"67 230 508";"A";"2024";"Métropole";"L1EJJUCL000A111";"Cyclo";"5"
"67 230 509";"A";"2024";"Métropole";"L6EAXA4M000N282";"Autres";"4"
"67 230 509";"B";"2024";"Métropole";"M10PELVP620N913";"VT";"4"
"67 230 510";"A";"2024";"Métropole";"M10PGTVP1291887";"VT";"2"
"67 230 511";"A";"2024";"Métropole";"MJS5102GR801";"VT";"16"
"67 230 512";"A";"2024";"Métropole";"N/A";"VT";"8"
"67 230 512";"B";"2024";"Métropole";"N/A";"VT";"12"
"67 230 513";"A";"2024";"Métropole";"N/A";"VT";"N/A"
"67 230 513";"B";"2024";"Métropole";"N/A";"Moto lourde";"N/A"
"67 230 515";"A";"2024";"Métropole";"LJS1AN405385";"Moto lourde";"16"
"67 230 515";"B";"2024";"Métropole";"L3EHDAM2000F590";"Moto lourde";"1"
"67 230 516";"A";"2024";"Métropole";"LHD17N40C281";"Moto lourde";"17"
"67 230 517";"A";"2024";"Métropole";"N10PGTCT0022951";"VU";"10"
"67 230 518";"A";"2024";"Métropole";"M10DACVP0016728";"VT";"4"
"67 230 519";"A";"2024";"Métropole";"VF1CR1GOH398436";"VU";"16"
