Code,Description
1,A + 50 m du passage piéton
2,A – 50 m du passage piéton
3,Sur passage piéton sans signalisation lumineuse
4,Sur passage piéton avec signalisation lumineuse
5,Sur trottoir
6,Sur accotement
7,Sur refuge ou BAU
8,Sur contre allée
