Code,Description
11,Ceinture - Oui
12,Ceinture - Non
13,Ceinture - Non déterminable
21,Casque - Oui
22,Casque - Non
23,Casque - Non déterminable
31,Dispositif enfants - Oui
32,Dispositif enfants - Non
33,Dispositif enfants - Non déterminable
41,Equipement réfléchissant - Oui
42,Equipement réfléchissant - Non
43,Equipement réfléchissant - Non déterminable
91,Autre - Oui
92,Autre - Non
93,Autre - Non déterminable
