sexe,gravite,nombre,ageMoyen
 -1,Indemne,5,24.0
Féminin,Blessé hospitalisé,5438,45.085141596175064361897757
Féminin,Blessé léger,18323,37.369371827757463297494952
Féminin,Indemne,14381,39.451081287810305263889855
Féminin,Tué,769,54.564369310793237971391417
Masculin,Blessé hospitalisé,13687,39.140206034923650179001973
Masculin,Blessé léger,31380,35.784002549394518801784576
Masculin,Indemne,35962,40.375118180301429286469051
Masculin,Tué,2663,46.024784078107397671798723
